,0,1,2,Tax-Supported Debt Principal Outstanding as of 8/31/03 ,Tax-Supported Debt Interest Outstanding as of 8/31/03 ,Tax-Supported Debt Service Outstanding as of 8/31/03 ,2002 M&O Tax Rate ,2002 I&S Tax Rate ,2002 TOTAL Tax Rate ,2002 Tax Year Assessed Valuation (AV) ,Population ,Debt Ratio Tax Debt to Assessed Valuation (AV) ,Debt Ratio Tax Debt Service to AV ,Debt Ratio Tax Debt Per Capita 
139,129-000-00,Kaufman County,KAUFMAN,22995000,11320406.25,34315406.25,0.5,0.05559,0.55559,3062761098,81955,0.007507931328700715,0.011204075392105559,280.5808065401745
140,130-000-00,Kendall County,KENDALL,5275000,2989945.90278,8264945.90278,0.33807,0.02622,0.36429,1786665522,26178,0.002952427264670751,0.004625905521212605,201.50508060203225
141,131-000-00,Kenedy County,KENEDY,,,,0.8,0,0.8,344318890,408,0,0,0
142,132-000-00,Kent County,KENT,1940000,119570,2059570,0.72016,0.2171,0.93726,323866834,770,0.005990116295761239,0.00635931124704174,2519.4805194805194
143,133-000-00,Kerr County,KERR,5500000,964325.01,6464325.01,0.322,0.0501,0.3721,2263630948,45311,0.002429724688496351,0.0028557327402293493,121.38332855156584
144,134-000-00,Kimble County,KIMBLE,,,,0.355,0,0.355,206162788,4535,0,0,0
145,135-000-00,King County,KING,,,,0.7282,0,0.7282,160812658,319,0,0,0
146,136-000-00,Kinney County,KINNEY,,,,0.785309,0.01652,0.801829,128235928,3311,0,0,0
147,137-000-00,Kleberg County,KLEBERG,1985000,307912.5,2292912.5,0.65397,0.03673,0.6907,992547888,31308,0.0019999035049077653,0.0023101278313334135,63.40232528427239
148,138-000-00,Knox County,KNOX,,,,0.7369,0,0.7369,125496815,3928,0,0,0
149,142-000-00,La Salle County,LA SALLE,1915000,993830,2908830,0.76252,0,0.76252,232756177,5822,0.00822749378634106,0.012497326762674918,328.92476812092065
150,139-000-00,Lamar County,LAMAR,5767795.75,2832696.125,8600491.875,0.3621,0.0196,0.3817,1675599598,49464,0.003442227938514939,0.0051327846373713445,116.60593057577228
151,140-000-00,Lamb County,LAMB,1300000,171725,1471725,0.5812,0.0438,0.625,856150646,14637,0.001518424363835614,0.0017190023822045916,88.81601421056227
152,141-000-00,Lampasas County,LAMPASAS,3485000,1207326.25,4692326.25,0.4299,0.0892,0.5191,599524144,19407,0.005812943540102031,0.007826751094114402,179.57438037821404
153,143-000-00,Lavaca County,LAVACA,3405000,1471892.5,4876892.5,0.4526,0.015,0.4676,1083233418,19063,0.0031433668343492705,0.004502162155414596,178.61826575040655
154,144-000-00,Lee County,LEE,1585000,270612.5,1855612.5,0.498,0.0374,0.5354,751281429,16530,0.0021097287099319474,0.002469929946850849,95.88626739261947
155,145-000-00,Leon County,LEON,,,,0.415112,0,0.415112,870095042,16017,0,0,0
156,145-000-00,Leon County-CONDUIT,LEON,,,,,,,,,0,0,0
157,146-000-00,Liberty County,LIBERTY,6840000,1315967.5,8155967.5,0.5355,0.0455,0.581,2566541252,74117,0.002665065287639491,0.0031778049519540705,92.2865199616822
158,147-000-00,Limestone County,LIMESTONE,,,,0.546,0,0.546,1153067224,22621,0,0,0
159,148-000-00,Lipscomb County,LIPSCOMB,,,,0.47,0,0.47,401453879,3092,0,0,0
160,149-000-00,Live Oak County,LIVE OAK,,,,0.56,0,0.56,658632930,11902,0,0,0
161,150-000-00,Llano County,LLANO,5665000,1648168.125,7313168.125,0.3202,0.0483,0.3685,1548335388,18034,0.0036587680188060133,0.004723245481359495,314.1288676943551
162,151-000-00,Loving County,LOVING,,,,0.6153,0,0.6153,195416300,62,0,0,0
163,152-000-00,Lubbock County,LUBBOCK,79935000,48836409.86111111,128771409.8611111,0.1911,0,0.1911,8774661499,250446,0.009109753123708505,0.014675370653988929,319.170599650224
164,153-000-00,Lynn County,LYNN,2335000,1435390,3770390,0.64514,0.03395,0.67909,211486831,6182,0.01104087658299632,0.017828013130519696,377.7094791329667
